,Percentage,,,,,,,Real Number,,,,,,,,,,,,,,,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF,,Mkt-RF,SMB,HML,RMW,CMA,RF,,S&P Return,Rt-Rf,,,CAPM_Beta,,,Residual,E^2,RSS,Y-Ybar,(Y-Ybar)^2,TSS,ESS
198502,1.22,0.99,-0.12,1.26,1.03,0.58,,0.0122,0.0099,-0.0012,0.0126,0.0103,0.0058,,0.008628781,0.002828781,,Intercept,-0.002256749,,,-0.006766835,4.57901E-05,0.004390549,-0.00227389,5.17058E-06,0.720056945,0.715666396
198503,-0.84,-1.47,4.1,1.02,2.94,0.62,,-0.0084,-0.0147,0.041,0.0102,0.0294,0.0062,,-0.002870013,-0.009070013,,Mkt-RF,1.009013957,,,-0.003694418,1.36487E-05,,-0.014172685,0.000200865,,
198504,-0.96,-0.11,3.73,1.49,0.71,0.72,,-0.0096,-0.0011,0.0373,0.0149,0.0071,0.0072,,-0.004594276,-0.011794276,,SMB,-0.16459171,,,-0.002182972,4.76536E-06,,-0.016896948,0.000285507,,
198505,5.09,-2.35,-0.86,1.11,-1.39,0.66,,0.0509,-0.0235,-0.0086,0.0111,-0.0139,0.0066,,0.054051053,0.047451053,,HML,0.025486956,,,-0.005356586,2.8693E-05,,0.042348382,0.001793385,,
198506,1.27,0.43,0.63,1.5,-0.59,0.55,,0.0127,0.0043,0.0063,0.015,-0.0059,0.0055,,0.012134017,0.006634017,,RMW,0.059762767,,,-0.004015538,1.61245E-05,,0.001531346,2.34502E-06,,
198507,-0.74,2.89,-1.63,-0.37,-0.31,0.62,,-0.0074,0.0289,-0.0163,-0.0037,-0.0031,0.0062,,-0.004847579,-0.011047579,,CMA,0.04363357,,,0.004204398,1.7677E-05,,-0.01615025,0.000260831,,
198508,-1.02,-0.31,2.28,0.33,1.88,0.55,,-0.0102,-0.0031,0.0228,0.0033,0.0188,0.0055,,-0.011994516,-0.017494516,,,,,,-0.00705469,4.97687E-05,,-0.022597188,0.000510633,,
198509,-4.54,-1.8,1.32,1.46,1.61,0.6,,-0.0454,-0.018,0.0132,0.0146,0.0161,0.006,,-0.034724078,-0.040724078,,Ybar,0.005102671,,,0.002467789,6.08998E-06,,-0.045826749,0.002100091,,
198510,4.02,-1.52,0.78,0.97,-1.11,0.65,,0.0402,-0.0152,0.0078,0.0097,-0.0111,0.0065,,0.042508814,0.036008814,,,,,,-0.005092756,2.59362E-05,,0.030906143,0.00095519,,
198511,6.48,-0.01,-2.87,0.5,-2.33,0.61,,0.0648,-0.0001,-0.0287,0.005,-0.0233,0.0061,,0.065061588,0.058961588,,,,,,-0.002732903,7.46876E-06,,0.053858916,0.002900783,,
198512,3.88,-0.43,-1.53,0.94,-1.8,0.65,,0.0388,-0.0043,-0.0153,0.0094,-0.018,0.0065,,0.045061093,0.038561093,,,,,,0.00157394,2.47729E-06,,0.033458421,0.001119466,,
198601,0.65,1.02,0.53,-2.28,-2.05,0.56,,0.0065,0.0102,0.0053,-0.0228,-0.0205,0.0056,,0.002366528,-0.003233472,,,,,,-0.00373448,1.39463E-05,,-0.008336144,6.94913E-05,,
198602,7.13,-0.74,-0.94,1.21,-1.39,0.53,,0.0713,-0.0074,-0.0094,0.0121,-0.0139,0.0053,,0.071489277,0.066189277,,,,,,-0.004591693,2.10836E-05,,0.061086606,0.003731573,,
198603,4.88,-0.53,-0.44,1.82,0.99,0.6,,0.0488,-0.0053,-0.0044,0.0182,0.0099,0.006,,0.052793919,0.046793919,,,,,,-0.002469061,6.09626E-06,,0.041691248,0.00173816,,
198604,-1.31,2.95,-2.85,3.36,0.02,0.52,,-0.0131,0.0295,-0.0285,0.0336,0.0002,0.0052,,-0.014148138,-0.019348138,,,,,,-0.000308228,9.50045E-08,,-0.024450809,0.000597842,,
198605,4.62,-1.24,-0.11,1.9,1.11,0.49,,0.0462,-0.0124,-0.0011,0.019,0.0111,0.0049,,0.050229288,0.045329288,,,,,,-0.002663135,7.09229E-06,,0.040226616,0.001618181,,
198606,1.03,-0.88,1.4,1.9,0.87,0.52,,0.0103,-0.0088,0.014,0.019,0.0087,0.0052,,0.014109521,0.008909521,,R-squared,AIC,,,-0.002546903,6.48672E-06,,0.003806849,1.44921E-05,,
198607,-6.45,-3.54,4.78,-0.43,0.61,0.52,,-0.0645,-0.0354,0.0478,-0.0043,0.0061,0.0052,,-0.058682831,-0.063882831,,0.993902498,-4605.60524,,,-0.003598689,1.29506E-05,,-0.068985502,0.004758999,,
198608,6.07,-4.32,3.52,-1.63,3.24,0.46,,0.0607,-0.0432,0.0352,-0.0163,0.0324,0.0046,,0.071192607,0.066592607,,Adjusted R Square,,,,-0.000844889,7.13837E-07,,0.061489936,0.003781012,,
198609,-8.6,1.97,3.19,0.01,3.62,0.45,,-0.086,0.0197,0.0319,0.0001,0.0362,0.0045,,-0.085438606,-0.089938606,,0.993825896,,,,-6.27455E-05,3.937E-09,,-0.095041277,0.009032844,,
198610,4.66,-2.34,-1.32,-0.1,0.89,0.46,,0.0466,-0.0234,-0.0132,-0.001,0.0089,0.0046,,0.05472933,0.05012933,,,,,,0.001522434,2.31781E-06,,0.045026659,0.0020274,,
198611,1.17,-1.86,-0.06,1.18,0.61,0.39,,0.0117,-0.0186,-0.0006,0.0118,0.0061,0.0039,,0.021477191,0.017577191,,,,,,0.004010998,1.60881E-05,,0.01247452,0.000155614,,
198612,-3.27,0.07,0.37,0.71,-0.03,0.49,,-0.0327,0.0007,0.0037,0.0071,-0.0003,0.0049,,-0.028288271,-0.033188271,,,,,,0.001672921,2.79866E-06,,-0.038290943,0.001466196,,
198701,12.47,-1.51,-3.18,0.04,-1.09,0.42,,0.1247,-0.0151,-0.0318,0.0004,-0.0109,0.0042,,0.131766896,0.127566896,,,,,,0.002776456,7.70871E-06,,0.122464225,0.014997486,,
198702,4.39,3.39,-5.99,-0.96,-2.76,0.43,,0.0439,0.0339,-0.0599,-0.0096,-0.0276,0.0043,,0.036923619,0.032623619,,,,,,-0.000531008,2.8197E-07,,0.027520948,0.000757403,,
198703,1.64,0.2,1.66,1.28,4.03,0.47,,0.0164,0.002,0.0166,0.0128,0.0403,0.0047,,0.026389865,0.021689865,,,,,,0.004781489,2.28626E-05,,0.016587194,0.000275135,,
198704,-2.11,-1.56,-0.33,-0.5,1.22,0.44,,-0.0211,-0.0156,-0.0033,-0.005,0.0122,0.0044,,-0.011450212,-0.015850212,,,,,,0.004979692,2.47973E-05,,-0.020952883,0.000439023,,
198705,0.11,-0.59,0.13,0.68,1.32,0.38,,0.0011,-0.0059,0.0013,0.0068,0.0132,0.0038,,0.006034197,0.002234197,,,,,,0.001394457,1.94451E-06,,-0.002868474,8.22814E-06,,
198706,3.94,-2.25,1.07,1.96,0.83,0.48,,0.0394,-0.0225,0.0107,0.0196,0.0083,0.0048,,0.047914491,0.043114491,,,,,,0.000106557,1.13543E-08,,0.038011819,0.001444898,,
198707,3.85,-1.09,0.66,-0.25,1.56,0.46,,0.0385,-0.0109,0.0066,-0.0025,0.0156,0.0046,,0.048223697,0.043623697,,,,,,0.004539869,2.06104E-05,,0.038521026,0.001483869,,
198708,3.52,-0.87,-0.9,1.89,-1.59,0.47,,0.0352,-0.0087,-0.009,0.0189,-0.0159,0.0047,,0.03495884,0.03025884,,,,,,-0.004640011,2.15297E-05,,0.025156168,0.000632833,,
198709,-2.59,0.39,0.28,-1.06,1.89,0.45,,-0.0259,0.0039,0.0028,-0.0106,0.0189,0.0045,,-0.024166165,-0.028666165,,,,,,0.0001034,1.06916E-08,,-0.033768837,0.001140334,,
198710,-23.24,-8.1,4.23,1.64,2.39,0.6,,-0.2324,-0.081,0.0423,0.0164,0.0239,0.006,,-0.217630416,-0.223630416,,,,,,-0.003311802,1.0968E-05,,-0.228733088,0.052318825,,
198711,-7.77,2.83,3.14,-2.36,0.71,0.35,,-0.0777,0.0283,0.0314,-0.0236,0.0071,0.0035,,-0.085348865,-0.088848865,,,,,,-0.003233473,1.04553E-05,,-0.093951536,0.008826891,,
198712,6.81,0.09,-4.49,3.09,-2.36,0.39,,0.0681,0.0009,-0.0449,0.0309,-0.0236,0.0039,,0.07286148,0.06896148,,,,,,0.002979958,8.88015E-06,,0.063858808,0.004077947,,
198801,4.21,-0.56,5.08,-0.89,2.09,0.29,,0.0421,-0.0056,0.0508,-0.0089,0.0209,0.0029,,0.040432269,0.037532269,,,,,,-0.005286974,2.79521E-05,,0.032429597,0.001051679,,
198802,4.75,3.27,-1.65,1.85,-0.11,0.46,,0.0475,0.0327,-0.0165,0.0185,-0.0011,0.0046,,0.041817403,0.037217403,,,,,,-0.003708942,1.37563E-05,,0.032114731,0.001031356,,
198803,-2.27,6.25,0.74,-0.04,1.91,0.44,,-0.0227,0.0625,0.0074,-0.0004,0.0191,0.0044,,-0.03334326,-0.03774326,,,,,,-0.003293012,1.08439E-05,,-0.042845931,0.001835774,,
198804,0.56,1.1,1.69,-0.13,1.9,0.46,,0.0056,0.011,0.0169,-0.0013,0.019,0.0046,,0.009424744,0.004824744,,,,,,0.002059447,4.24132E-06,,-0.000277928,7.72439E-08,,
198805,-0.29,-2.58,2.3,-0.68,0.38,0.51,,-0.0029,-0.0258,0.023,-0.0068,0.0038,0.0051,,0.003176126,-0.001923874,,,,,,-0.001333071,1.77708E-06,,-0.007026545,4.93723E-05,,
198806,4.79,2.18,-1.07,1.43,-3.25,0.49,,0.0479,0.0218,-0.0107,0.0143,-0.0325,0.0049,,0.043256011,0.038356011,,,,,,-0.003294716,1.08552E-05,,0.03325334,0.001105785,,
198807,-1.25,-0.17,2.27,-0.81,1.45,0.51,,-0.0125,-0.0017,0.0227,-0.0081,0.0145,0.0051,,-0.005411375,-0.010511375,,,,,,0.00335108,1.12297E-05,,-0.015614046,0.000243798,,
198808,-3.31,-0.04,2.03,-0.85,1.74,0.59,,-0.0331,-0.0004,0.0203,-0.0085,0.0174,0.0059,,-0.038600104,-0.044500104,,,,,,-0.009679456,9.36919E-05,,-0.049602776,0.002460435,,
198809,3.3,-1.32,-0.68,1.45,-0.48,0.62,,0.033,-0.0132,-0.0068,0.0145,-0.0048,0.0062,,0.039729334,0.033529334,,,,,,-0.000167796,2.81555E-08,,0.028426663,0.000808075,,
198810,1.15,-2.97,1.71,1.32,1.04,0.61,,0.0115,-0.0297,0.0171,0.0132,0.0104,0.0061,,0.025964462,0.019864462,,,,,,0.003950692,1.5608E-05,,0.014761791,0.00021791,,
198811,-2.29,-1.67,1.24,0.08,1.6,0.57,,-0.0229,-0.0167,0.0124,0.0008,0.016,0.0057,,-0.018890881,-0.024590881,,,,,,-0.003038379,9.23175E-06,,-0.029693552,0.000881707,,
198812,1.49,1.99,-1.55,0.77,-0.37,0.63,,0.0149,0.0199,-0.0155,0.0077,-0.0037,0.0063,,0.014687573,0.008387573,,,,,,-0.001018292,1.03692E-06,,0.003284902,1.07906E-05,,
198901,6.1,-2.23,0.51,-0.8,0.16,0.55,,0.061,-0.0223,0.0051,-0.008,0.0016,0.0055,,0.071114792,0.065614792,,,,,,0.002929599,8.58255E-06,,0.06051212,0.003661717,,
198902,-2.25,2.67,0.87,-0.62,1.89,0.61,,-0.0225,0.0267,0.0087,-0.0062,0.0189,0.0061,,-0.028944149,-0.035044149,,,,,,-0.006365869,4.05243E-05,,-0.04014682,0.001611767,,
198903,1.57,0.74,0.46,-0.04,0.79,0.67,,0.0157,0.0074,0.0046,-0.0004,0.0079,0.0067,,0.020805962,0.014105962,,,,,,0.001301131,1.69294E-06,,0.009003291,8.10592E-05,,
198904,4.33,-0.7,-1.45,0.82,-0.54,0.67,,0.0433,-0.007,-0.0145,0.0082,-0.0054,0.0067,,0.050089939,0.043389939,,,,,,0.000919369,8.45239E-07,,0.038287267,0.001465915,,
198905,3.35,-0.05,-0.82,0.64,-0.04,0.79,,0.0335,-0.0005,-0.0082,0.0064,-0.0004,0.0079,,0.035137493,0.027237493,,,,,,-0.004546056,2.06666E-05,,0.022134822,0.00048995,,
198906,-1.35,-1.07,2.19,-0.09,1.52,0.71,,-0.0135,-0.0107,0.0219,-0.0009,0.0152,0.0071,,-0.007924554,-0.015024554,,,,,,-0.002074856,4.30503E-06,,-0.020127226,0.000405105,,
198907,7.2,-4.08,-2.84,2,-0.62,0.7,,0.072,-0.0408,-0.0284,0.02,-0.0062,0.007,,0.088370259,0.081370259,,,,,,0.004061764,1.64979E-05,,0.076267588,0.005816745,,
198908,1.44,0.44,0.72,0.08,-0.5,0.74,,0.0144,0.0044,0.0072,0.0008,-0.005,0.0074,,0.015516716,0.008116716,,,,,,-0.003445281,1.187E-05,,0.003014045,9.08447E-06,,
198909,-0.76,0.46,-1.34,1.41,0.59,0.65,,-0.0076,0.0046,-0.0134,0.0141,0.0059,0.0065,,-0.006544367,-0.013044367,,,,,,-0.003120558,9.73789E-06,,-0.018147039,0.000329315,,
198910,-3.67,-3.33,-1.03,0.09,0.02,0.68,,-0.0367,-0.0333,-0.0103,0.0009,0.0002,0.0068,,-0.025175452,-0.031975452,,,,,,0.002031207,4.1258E-06,,-0.037078124,0.001374787,,
198911,1.03,-1.28,-1.12,-1.29,1.47,0.69,,0.0103,-0.0128,-0.0112,-0.0129,0.0147,0.0069,,0.016541325,0.009641325,,,,,,-0.000186564,3.48062E-08,,0.004538653,2.05994E-05,,
198912,1.16,-2.28,0.28,-0.25,1.45,0.61,,0.0116,-0.0228,0.0028,-0.0025,0.0145,0.0061,,0.021416816,0.015316816,,,,,,0.001561669,2.43881E-06,,0.010214145,0.000104329,,
199001,-7.85,-1.33,0.87,-1.12,1.32,0.57,,-0.0785,-0.0133,0.0087,-0.0112,0.0132,0.0057,,-0.068817225,-0.074517225,,,,,,0.004629693,2.14341E-05,,-0.079619897,0.006339328,,
199002,1.11,1.17,0.61,-0.18,-0.64,0.57,,0.0111,0.0117,0.0061,-0.0018,-0.0064,0.0057,,0.008539043,0.002839043,,,,,,-0.003947183,1.55803E-05,,-0.002263629,5.12402E-06,,
199003,1.83,1.63,-2.9,2.18,-1.02,0.64,,0.0183,0.0163,-0.029,0.0218,-0.0102,0.0064,,0.024254984,0.017854984,,,,,,0.004210978,1.77323E-05,,0.012752313,0.000162621,,
199004,-3.36,-0.43,-2.55,1.83,-0.98,0.69,,-0.0336,-0.0043,-0.0255,0.0183,-0.0098,0.0069,,-0.026887139,-0.033787139,,,,,,0.001648602,2.71789E-06,,-0.03888981,0.001512417,,
199005,8.42,-2.42,-3.74,1.7,-1.57,0.68,,0.0842,-0.0242,-0.0374,0.017,-0.0157,0.0068,,0.09198919,0.08518919,,,,,,-0.000873863,7.63637E-07,,0.080086519,0.00641385,,
199006,-1.09,1.37,-1.94,-1.09,-0.34,0.63,,-0.0109,0.0137,-0.0194,-0.0109,-0.0034,0.0063,,-0.008886366,-0.015186366,,,,,,0.001617757,2.61714E-06,,-0.020289037,0.000411645,,
199007,-1.9,-3.24,-0.01,-0.36,3.1,0.68,,-0.019,-0.0324,-0.0001,-0.0036,0.031,0.0068,,-0.005223158,-0.012023158,,,,,,0.002937139,8.62678E-06,,-0.017125829,0.000293294,,
199008,-10.15,-3.86,1.58,-0.46,2.99,0.66,,-0.1015,-0.0386,0.0158,-0.0046,0.0299,0.0066,,-0.094314184,-0.100914184,,,,,,-0.004028187,1.62263E-05,,-0.106016855,0.011239574,,
199009,-6.12,-3.75,0.73,-0.07,3.71,0.6,,-0.0612,-0.0375,0.0073,-0.0007,0.0371,0.006,,-0.051184307,-0.057184307,,,,,,-0.00111112,1.23459E-06,,-0.062286979,0.003879668,,
199010,-1.92,-5.08,0.22,2.81,-0.49,0.68,,-0.0192,-0.0508,0.0022,0.0281,-0.0049,0.0068,,-0.006698213,-0.013498213,,,,,,-0.001751256,3.0669E-06,,-0.018600884,0.000345993,,
199011,6.35,-0.03,-3.16,0.82,-4.75,0.57,,0.0635,-0.0003,-0.0316,0.0082,-0.0475,0.0057,,0.059934214,0.054234214,,,,,,-0.005242873,2.74877E-05,,0.049131542,0.002413908,,
199012,2.46,0.62,-1.54,3.39,-2,0.6,,0.0246,0.0062,-0.0154,0.0339,-0.02,0.006,,0.024827757,0.018827757,,,,,,-0.003477556,1.20934E-05,,0.013725086,0.000188378,,
199101,4.69,3.88,-1.84,1.78,-4.08,0.52,,0.0469,0.0388,-0.0184,0.0178,-0.0408,0.0052,,0.041517752,0.036317752,,,,,,-0.001176663,1.38454E-06,,0.03121508,0.000974381,,
199102,7.19,3.91,-0.54,-0.08,-0.16,0.48,,0.0719,0.0391,-0.0054,-0.0008,-0.0016,0.0048,,0.067281175,0.062481175,,,,,,-0.00111939,1.25304E-06,,0.057378503,0.003292293,,
199103,2.65,3.84,-1.23,-0.13,-0.99,0.44,,0.0265,0.0384,-0.0123,-0.0013,-0.0099,0.0044,,0.022202833,0.017802833,,,,,,0.000464187,2.1547E-07,,0.012700161,0.000161294,,
199104,-0.28,0.31,1.42,0.38,0.71,0.53,,-0.0028,0.0031,0.0142,0.0038,0.0071,0.0053,,0.000319799,-0.004980201,,,,,,-0.00028679,8.22487E-08,,-0.010082872,0.000101664,,
199105,3.65,0.18,-0.57,2.08,-2.45,0.47,,0.0365,0.0018,-0.0057,0.0208,-0.0245,0.0047,,0.038604975,0.033904975,,,,,,-0.000399788,1.59831E-07,,0.028802303,0.000829573,,
199106,-4.94,0.15,1.21,1.37,0.63,0.42,,-0.0494,0.0015,0.0121,0.0137,0.0063,0.0042,,-0.047892629,-0.052092629,,,,,,-0.001145737,1.31271E-06,,-0.057195301,0.003271302,,
199107,4.24,-0.99,-1.25,1.36,-1.41,0.49,,0.0424,-0.0099,-0.0125,0.0136,-0.0141,0.0049,,0.044859343,0.039959343,,,,,,-0.002074511,4.3036E-06,,0.034856672,0.001214988,,
199108,2.32,1.43,-0.78,0.79,-0.55,0.46,,0.0232,0.0143,-0.0078,0.0079,-0.0055,0.0046,,0.019648784,0.015048784,,,,,,-0.003783272,1.43131E-05,,0.009946113,9.89252E-05,,
199109,-1.59,1.54,-1,-2.1,0.16,0.46,,-0.0159,0.0154,-0.01,-0.021,0.0016,0.0046,,-0.019143738,-0.023743738,,,,,,-0.001468881,2.15761E-06,,-0.028846409,0.000832115,,
199110,1.29,0.91,-0.43,-1.95,-0.29,0.42,,0.0129,0.0091,-0.0043,-0.0195,-0.0029,0.0042,,0.011834237,0.007634237,,,,,,-0.000226004,5.1078E-08,,0.002531566,6.40882E-06,,
199111,-4.19,-0.92,-1.93,1.12,0.12,0.39,,-0.0419,-0.0092,-0.0193,0.0112,0.0012,0.0039,,-0.043903709,-0.047803709,,,,,,-0.005013324,2.51334E-05,,-0.05290638,0.002799085,,
199112,10.84,-2.41,-4.03,3.76,-3.12,0.38,,0.1084,-0.0241,-0.0403,0.0376,-0.0312,0.0038,,0.111587855,0.107787855,,,,,,-0.003157758,9.97143E-06,,0.102685183,0.010544247,,
199201,-0.59,9.23,4.51,-1.14,3.15,0.34,,-0.0059,0.0923,0.0451,-0.0114,0.0315,0.0034,,-0.01992375,-0.02332375,,,,,,-0.001764628,3.11391E-06,,-0.028426422,0.000808061,,
199202,1.09,1.37,6.37,0.18,2.04,0.28,,0.0109,0.0137,0.0637,0.0018,0.0204,0.0028,,0.009589542,0.006789542,,,,,,-0.002318272,5.37438E-06,,0.001686871,2.84553E-06,,
199203,-2.66,-0.88,3.65,0.06,1.93,0.34,,-0.0266,-0.0088,0.0365,0.0006,0.0193,0.0034,,-0.021831863,-0.025231863,,,,,,0.000607991,3.69653E-07,,-0.030334534,0.000920184,,
199204,1.07,-5.71,4.31,1.73,2.22,0.32,,0.0107,-0.0571,0.0431,0.0173,0.0222,0.0032,,0.027892715,0.024692715,,,,,,0.003653779,1.33501E-05,,0.019590043,0.00038377,,
199205,0.3,0.22,1.28,-0.97,0.43,0.28,,0.003,0.0022,0.0128,-0.0097,0.0043,0.0028,,0.000963957,-0.001836043,,,,,,-0.002178393,4.7454E-06,,-0.006938714,4.81458E-05,,
199206,-2.34,-2.67,3.4,0.06,1.07,0.32,,-0.0234,-0.0267,0.034,0.0006,0.0107,0.0032,,-0.017358832,-0.020558832,,,,,,-0.000455049,2.07069E-07,,-0.025661503,0.000658513,,
199207,3.77,-0.64,-0.53,0.96,-0.72,0.31,,0.0377,-0.0064,-0.0053,0.0096,-0.0072,0.0031,,0.039373684,0.036273684,,,,,,-0.00068726,4.72327E-07,,0.031171013,0.000971632,,
199208,-2.38,-0.45,-1.03,3.72,-1.62,0.26,,-0.0238,-0.0045,-0.0103,0.0372,-0.0162,0.0026,,-0.02399753,-0.02659753,,,,,,-0.002320707,5.38568E-06,,-0.031700201,0.001004903,,
199209,1.19,0.46,-0.21,1.5,-0.5,0.26,,0.0119,0.0046,-0.0021,0.015,-0.005,0.0026,,0.009105594,0.006505594,,,,,,-0.003112553,9.68798E-06,,0.001402922,1.96819E-06,,
199210,1.02,2.03,-2.1,1.1,-0.8,0.23,,0.0102,0.0203,-0.021,0.011,-0.008,0.0023,,0.002106283,-0.000193717,,,,,,-0.004660795,2.1723E-05,,-0.005296388,2.80517E-05,,
199211,4.13,3.94,-1.48,-0.64,-1.91,0.23,,0.0413,0.0394,-0.0148,-0.0064,-0.0191,0.0023,,0.030261807,0.027961807,,,,,,-0.003375718,1.13955E-05,,0.022859135,0.00052254,,
199212,1.53,1.64,2.52,-0.83,0.75,0.28,,0.0153,0.0164,0.0252,-0.0083,0.0075,0.0028,,0.010107766,0.007307766,,,,,,-0.003647587,1.33049E-05,,0.002205095,4.86244E-06,,
199301,0.93,2.1,5.87,-1.79,2.78,0.23,,0.0093,0.021,0.0587,-0.0179,0.0278,0.0023,,0.007045989,0.004745989,,,,,,-0.00056401,3.18107E-07,,-0.000356682,1.27222E-07,,
199302,0.12,-3.43,6.42,-0.62,4.05,0.22,,0.0012,-0.0343,0.0642,-0.0062,0.0405,0.0022,,0.010483627,0.008283627,,,,,,0.000651171,4.24023E-07,,0.003180956,1.01185E-05,,
199303,2.3,0.08,1.22,-0.26,0.92,0.25,,0.023,0.0008,0.0122,-0.0026,0.0092,0.0025,,0.018697298,0.016197298,,,,,,-0.005178588,2.68178E-05,,0.011094626,0.000123091,,
